"Provider","Agency","Name","","Type","Reasoning Efforts"
"Ollama","Google","Gemma 3 1B","gemma3:1b","text",""
"Ollama","Google","Gemma 3 4B","gemma3:4b","text",""
"Ollama","Google","Gemma 3 12B","gemma3:12b","text",""
"Ollama","Google","Gemma 3 27B","gemma3:27b","text",""
"Ollama","Google","Gemma 3n E2B","gemma3n:e2b","text",""
"Ollama","Google","Gemma 3n E4B","gemma3n:e4b","text",""
"Ollama","Google","Gemma 2 2B","gemma2:2b","text",""
"Ollama","Google","Gemma 2 9B","gemma2:9b","text",""
"Ollama","Google","Gemma 2 27B","gemma2:27b","text",""
"Ollama","Google","CodeGemma 2B","codegemma:2b","code",""
"Ollama","Google","CodeGemma 7B","codegemma:7b","code",""
"Ollama","Alibaba","Qwen 2.5 Coder 0.5B","qwen2.5-coder:0.5b","code",""
"Ollama","Alibaba","Qwen 2.5 Coder 1.5B","qwen2.5-coder:1.5b","code",""
"Ollama","Alibaba","Qwen 2.5 Coder 3B","qwen2.5-coder:3b","code",""
"Ollama","Alibaba","Qwen 2.5 Coder 7B","qwen2.5-coder:7b","code",""
"Ollama","Alibaba","Qwen 2.5 Coder 14B","qwen2.5-coder:14b","code",""
"Ollama","Alibaba","Qwen 2.5 Coder 32B","qwen2.5-coder:32b","code",""
"Ollama","DeepSeek","DeepSeek Coder 1.3B","deepseek-coder:1.3b","code",""
"Ollama","DeepSeek","DeepSeek Coder 6.7B","deepseek-coder:6.7b","code",""
"Ollama","DeepSeek","DeepSeek Coder 33B","deepseek-coder:33b","code",""
"Ollama","DeepSeek","DeepSeek Coder V2 Lite 16B","deepseek-coder-v2:16b","code",""
"Ollama","BigCode","StarCoder2 3B","starcoder2:3b","code",""
"Ollama","BigCode","StarCoder2 7B","starcoder2:7b","code",""
"Ollama","BigCode","StarCoder2 15B","starcoder2:15b","code",""
"Ollama","Meta","Code Llama 7B","codellama:7b","code",""
"Ollama","Meta","Code Llama 13B","codellama:13b","code",""
"Ollama","Meta","Code Llama 34B","codellama:34b","code",""
"Ollama","Mistral","Codestral 22B","codestral:22b","code",""
"Ollama","Alibaba","Qwen 3 Coder 30B","qwen3-coder:30b","code",""
"Ollama","OpenAI","GPT OSS 20B","gpt-oss:20b","text",""
